Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
kallisto | CL08	94251532.0	64607619.0	29643913.0	68.5480836534307
kallisto | CL10	64436537.0	34028363.0	30408174.0	52.80911201047319
kallisto | CL11	68179906.0	37578853.0	30601053.0	55.11719684682463
kallisto | CL12	69980123.0	46389988.0	23590135.0	66.29023501430542
kallisto | CL13	133387934.0	79700566.0	53687368.0	59.75095618468759
kallisto | HS01	89921353.0	48035645.0	41885708.0	53.419619920532114
kallisto | HS02	84483855.0	59016774.0	25467081.0	69.85568307696187
kallisto | HS03	95110159.0	47116510.0	47993649.0	49.53888259192165
kallisto | HS04	30161579.0	19002574.0	11159005.0	63.00258351858833
kallisto | HS05	5323802.0	2616933.0	2706869.0	49.15534048786938
